,comment_id,video_id,author,comment_text,published_at,like_count
1028,UgxLGFyZ6Kkq1SVNgaV4AaABAg,JpaK8OhL4FI,@armanbaik,"dahon klo bikin jok emang kebangetan, kaya kursi warteg disarungin😂",2025-10-14T12:25:28Z,0
1029,UgzN6cxkqRbbcFR65XN4AaABAg,JpaK8OhL4FI,@Madzzindonesia,pas pertama kukira itu kebab titan,2025-10-14T11:25:59Z,0
1030,UgwrzYWEdixcahtOcpt4AaABAg,JpaK8OhL4FI,@rigormortis6969,Di malang ada ga bg?,2025-10-14T11:24:32Z,0
1031,Ugx6jyKYy1VrNP16Rth4AaABAg,JpaK8OhL4FI,@AkunPribadi-j7l,Owner?????😂😂,2025-10-14T10:47:08Z,0
1032,UgyaedePLQEqM7r8e794AaABAg,JpaK8OhL4FI,@denitriyadi8223,Tipis kali ngondah ahampas,2025-10-14T10:40:47Z,0
1033,UgxNNzruwnP_CsjbE2B4AaABAg,JpaK8OhL4FI,@NauraNajwa-fb7ld,"Ntar gw mo ganti tapi nanya majikan gw yg mulia meong, sayang kalo di cakarin lagi wkwkwkwkwk😂",2025-10-14T07:25:08Z,0
1034,UgwTyHgODI5C67O5fd14AaABAg,JpaK8OhL4FI,@FriskaHadi,Lokasi mana bang,2025-10-14T03:49:58Z,0
1035,UgwH3wS07537dqZIpSZ4AaABAg,JpaK8OhL4FI,@dedenali5416,spill jok motor honda CB 100 bg,2025-10-14T03:15:14Z,0
1036,Ugy27_wRCJsd2LQFQS14AaABAg,JpaK8OhL4FI,,"Bukan anak motor, kaga pernah motoran, tapi seru dan rame aja liatnya😅",2025-10-14T01:06:56Z,0
1037,UgxU8qcpLZwriYodyhR4AaABAg,JpaK8OhL4FI,@irfanprasetio4683,Habis brp?,2025-10-13T13:35:22Z,0
1038,UgwRr73vZcI9tISZGa14AaABAg,JpaK8OhL4FI,@nyamphnyamph9553,Kenapa Latexnya gak diatas aja. Tapi malah ditimpa bisa lagi ya?,2025-10-13T12:34:59Z,0
1039,Ugzc8HD_c5aorB68wO54AaABAg,JpaK8OhL4FI,@ajifauzy8049,Bang karyawan lu yang ngetucker mantan karyawan pt meiwa ya😂,2025-10-13T12:09:26Z,0
1040,Ugw01v3oHTSmKPlpKTR4AaABAg,JpaK8OhL4FI,@rizalajo8942,Kira2 brp biaya itu semua mas? 🙏,2025-10-13T02:58:57Z,1
1041,UgxbrtKv5uHnQ8EYsfx4AaABAg,JpaK8OhL4FI,@abram_irham,Astrea grand dibuat jok kaya pakai bahan ginian habus berapa ya,2025-10-13T01:35:01Z,0
1042,UgwPYL3n7PLjZPT-8T54AaABAg,JpaK8OhL4FI,@Shazira53,Ganteng banget,2025-10-12T11:11:46Z,0
1043,Ugw3PB5vNrTXrclQfEN4AaABAg,JpaK8OhL4FI,@xedex1750,"Gw gaberani digituin bang, di daerah gw banyak yang suka iseng dengan bolongin jok orang hadeh😅",2025-10-12T10:19:25Z,0
1044,UgzTf39fEB2ViIgV0Gx4AaABAg,JpaK8OhL4FI,@MrDongeng2110,Untuk Beat ada Om?,2025-10-12T09:00:31Z,0
1045,Ugz5cQlka7I7WeWk0cZ4AaABAg,JpaK8OhL4FI,@serojamelow8679,Udah cantik gitu di naikin 🐈 kucing trus di cakar2😂😂😂😂😭😡bikin kesel,2025-10-12T08:27:44Z,0
1046,UgxtdeLSFbcf-fErSWR4AaABAg,JpaK8OhL4FI,@JihanPA-cq9yj,Surabaya - Sidoarjo ada dimana.??? komen cek...,2025-10-12T08:10:24Z,1
1047,UgzsUqaY70BFFx2kFeF4AaABAg,JpaK8OhL4FI,@andikatsaqifathallah777,wkwk gope ada kali,2025-10-12T05:06:54Z,0
1048,UgwYF8m1lmk4qKro0TF4AaABAg,JpaK8OhL4FI,@SugiYono-v1e,buat beat street kira2 brp ya mas,2025-10-12T03:10:21Z,0
1049,UgxIW2-HSL8nJ6QiVWR4AaABAg,JpaK8OhL4FI,@andreypopola7912,Harga??,2025-10-11T14:57:08Z,0
1050,UgwtnNuGfkb4HyzfR9p4AaABAg,JpaK8OhL4FI,@UDIN_MY,kok aku liat ada siluet cewe di busanya ya?,2025-10-11T13:41:48Z,0
1051,Ugyn6Fb5rmd0pxELE3h4AaABAg,JpaK8OhL4FI,@fujaatmawijayaofficial583,Lokasi d mana Bang ?,2025-10-11T07:45:13Z,0
1052,Ugzk4SDe1w_q7Fnb7Bd4AaABAg,JpaK8OhL4FI,@4tySix-Music-AI,kucing be like = 🤤,2025-10-11T05:52:52Z,0
1053,UgzrrwXxehF7J_ZGnRN4AaABAg,JpaK8OhL4FI,@maleakhivhikranarjunaarjun4395,Di makassar ada ngk bang,2025-10-11T03:10:14Z,0
1054,Ugy7tuwSZtAyZI3rZQJ4AaABAg,JpaK8OhL4FI,@teukupupun.z941,Alamat workshop nya di mana bang,2025-10-07T17:02:05Z,0
1055,Ugw2v0iYVEa4SjwCYRl4AaABAg,JpaK8OhL4FI,@beginoonnisa,Rapihh bangett👏👏,2025-10-06T23:59:46Z,0
1056,UgwFLxc37q4ZBmYBRml4AaABAg,JpaK8OhL4FI,@IkbalFauzi-c6k,Brapa bos,2025-10-05T14:01:19Z,0
1057,UgwLPnegK8_OAJqVp6B4AaABAg,JpaK8OhL4FI,@sayasehat7074,Merk sarungnya yg seperti ini persis tp kulit warna putih ada nggak bang .?,2025-10-05T12:11:22Z,0
1058,UgwLHcmMPmJ1GD9_W0N4AaABAg,JpaK8OhL4FI,@gungunajah9639,Mantappp👍👍👍,2025-10-05T05:03:52Z,0
1059,UgxlFIt7QT6fagKnbdl4AaABAg,JpaK8OhL4FI,@ismetismet4558,Kata gw mah kebab,2025-10-04T06:37:00Z,0
1060,Ugw7p69YvHwd9sP-K1Z4AaABAg,JpaK8OhL4FI,@DillahAbdillah28,"Keren dan rapih bngt,maha karya",2025-10-03T13:36:10Z,0
1061,Ugw7bZZQg9W-_ILrsVR4AaABAg,JpaK8OhL4FI,@BinarAlqsiyaTiaraR,Maapp. Ku pikir itu bantal/selimut roti 😅😅,2025-10-02T12:17:04Z,0
1062,Ugzz5XnTFzdQI9BPfnF4AaABAg,JpaK8OhL4FI,@Lightha,Gw kira tadi itu roti,2025-10-01T08:57:04Z,0
1063,UgxKqVsA0SgL4-HAUR94AaABAg,JpaK8OhL4FI,@king26king,Gua service jok sampe 3jt,2025-09-30T12:11:40Z,0
1064,UgxIYp0sUT-uQ3Fq7xh4AaABAg,JpaK8OhL4FI,@Blink163,Dmn sih workshopnya,2025-09-30T09:55:37Z,0
1065,UgzFeBPcqzijOwXLhG14AaABAg,JpaK8OhL4FI,@ohdss,Habis berapa tuh???,2025-09-29T02:40:54Z,0
1066,Ugy2DeBd032Qbu04i0Z4AaABAg,JpaK8OhL4FI,@annoyinghh,Jox latex adv nya masih sedia apa kaga bang di shoppe?,2025-09-28T10:08:13Z,0
1067,UgxN8G-Gl1NNIpjDe3h4AaABAg,JpaK8OhL4FI,@AutobotsXX,Gw user adv dr jaman 150 sampai skrg pake 160. Emang tipis bet tu busa jok. Pegel jir pantat klo duduk lama2,2025-09-27T12:03:24Z,0
1068,UgxaI3FXf6trAQ_drzh4AaABAg,JpaK8OhL4FI,@agusdwisudarmantoagus606,Sidoarjo ada kak,2025-09-27T05:42:51Z,0
1069,Ugz9gi6z3INCEsIaGc94AaABAg,JpaK8OhL4FI,@jsirrr,kisaran berapa itu mas,2025-09-27T05:38:42Z,0
1070,UgxhpNSR8wj20NhPHg54AaABAg,JpaK8OhL4FI,@Yanuarsdwi,Pasti mahal yah,2025-09-26T14:20:26Z,0
