Author,Komentar,Prediksi,Score,Raw_Prob,Metode,Is_Judol
@erlangga-ee3ej,Menit 6:19 tembus tembok bjir pas mau ambil buf merah,🟢 AMAN,21.0%,0.2098888820025059,Weighted Average,0
@LuckyAlvendo,wkwk mayan lah,🟢 AMAN,9.8%,0.09765214984990178,Weighted Average,0
@ahmadfauji3555,5:40 5:41 5:42 5:43 5:43 5:43 5:43 5:44 5:44 5:44 5:44 5:45 5:45 5:45 5:45 5:46 5:46 5:46 5:46 5:46 5:46 5:47 5:47 5:47,🟢 AMAN,11.2%,0.11180285284039264,Weighted Average,0
@Indonesiabebaskorupsi,"Soundtrack nya yang tegang dong bang, hampir smua konten soundtrack nya sama smua, tampil beda laah bang",🟢 AMAN,15.0%,0.1496189284698247,Weighted Average,0
@Kingz-717,6:19 apaan njir tembus tembok,🟢 AMAN,18.8%,0.1880310668334716,Weighted Average,0
@BIOSKOPCERIA88,Bang buat konten tutorial fani dari 0,🟢 AMAN,15.2%,0.1524027461240765,Weighted Average,0
@valyanouye1641,Mending ga usah di kontenin ga si bang,🟢 AMAN,21.5%,0.21484449990660354,Weighted Average,0
@Azka-26R,"Kaget sama main sama Skylar salah
Kaget sama Fanny bisa tembus iyaaaa",🟢 AMAN,20.3%,0.20296458155854777,Weighted Average,0
@Biang_kerok,Setiap ngomong gausa di zoom bisa kali yaelah,🟢 AMAN,19.5%,0.19506441427311075,Weighted Average,0
@Dedyfirmans,Itu yg pake esme gw bg,🟢 AMAN,15.9%,0.15894207220008158,Weighted Average,0
@Ohnaaahhhhh,Klsz,🟢 AMAN,8.0%,0.07956310041979009,Weighted Average,0
@Dsh-ng7id,Skil gue klo lagi ga mood gini juga,🟢 AMAN,18.9%,0.1889032724599204,Weighted Average,0
@ikilah310,Terlalu caper,🟢 AMAN,12.0%,0.12006906791715864,Weighted Average,0
@MuhammadakmalPeraseriawan,Bang daffa pas hari minggu abang bagi bagi skin ya aku udah add tapi abang gak acc 😭😭,🟢 AMAN,16.8%,0.16806526600330143,Weighted Average,0
@sangMCsg,bang gw suka nonton video Luh bang gw juga suka Fanny 😊😊😊,🟢 AMAN,19.2%,0.19202609146530822,Weighted Average,0
@HPCina-ck5ys,Main cari menang bukan cari kill masee,🟢 AMAN,39.0%,0.3901541456430043,Weighted Average,0
@filipusdika8940,JIR ADA MA MAMA DOLAY,🟢 AMAN,20.0%,0.1999785747164706,Weighted Average,0
@Masadyyy,bang tutor punya ip bang buat jago main fanny,🟢 AMAN,17.3%,0.1731169358169942,Weighted Average,0
@MrRazorrr,Lu adiknya bang jefri kah,🟢 AMAN,14.4%,0.14447020741120642,Weighted Average,0
@fikmanfikman,𝐊𝐞𝐫𝐚𝐧 𝐛𝐚𝐧𝐠 dafa,🟢 AMAN,31.9%,0.3185374012821556,Weighted Average,0
@FriendMusicai,Salam satu hobi,🟢 AMAN,12.9%,0.1286238474364214,Weighted Average,0
